"barcode","region","pseudotime","state","pxl_row_in_fullres","pxl_col_in_fullres"
"s_008um_00370_00720-1","mature_9",9.86161467698097,2,29396.6772472059,19965.6157175542
"s_008um_00071_00400-1","mature_22",5.93473648010192,1,20070.9381857468,11173.0200332582
"s_008um_00169_00814-1","mature_12",0.314625951840652,3,32174.2791870558,14095.8446461376
"s_008um_00132_00456-1","mature_18",0.187915003985153,3,21701.8349474149,12965.6373322106
"s_008um_00340_00734-1","mature_9",0.411997261691182,3,29810.3689634928,19089.531042391
"s_008um_00087_00473-1","mature_20",0.332994127593912,3,22205.3091814237,11650.9409289931
"s_008um_00113_00777-1","mature_13",6.55612275862362,2,31098.8570722273,12452.1046299808
"s_008um_00052_00632-1","mature_15",0.874747025364929,3,26863.324822039,10647.7132395042
"s_008um_00457_00832-1","mature_2",0.308881765663356,3,32662.9026551991,22526.3988262357
"s_008um_00489_00823-1","mature_3",6.40671890726918,2,32395.2743082782,23461.6597899731
"s_008um_00216_00695-1","mature_25",3.34199905119054,2,28685.4074660608,15455.5478431279
"s_008um_00470_00813-1","mature_3",0.686127793507147,3,32105.1375097332,22904.3234067918
"s_008um_00054_00604-1","mature_12",0.311081479475144,3,26043.5988873268,10702.5340425544
"s_008um_00359_00833-1","mature_1",3.40854521830974,1,32705.1535683714,19658.6381978589
"s_008um_00253_00741-1","mature_25",4.2172811709709,2,30026.7461170332,16544.4324136316
"s_008um_00084_00390-1","mature_22",6.18816610677379,1,19776.5539224271,11552.1491278276
"s_008um_00251_00758-1","mature_25",0.256063082807345,3,30524.5309504971,16488.1514318647
"s_008um_00161_00796-1","mature_12",3.33676573808927,2,31648.5531260706,13859.3424457172
"s_008um_00053_00551-1","mature_16",1.06221751196987,3,24492.602353786,10666.2456918873
"s_008um_00146_00299-1","mature_29",10.2093489868597,2,17105.0805965597,13354.566997552
"s_008um_00409_00765-1","mature_5",0.281968276619512,3,30708.4713367067,21112.870838098
"s_008um_00163_00815-1","mature_12",7.76443864400385,2,32204.339933053,13920.3874479104
"s_008um_00145_00707-1","mature_12",0.225286533073314,3,29045.9953835566,13379.319520874
"s_008um_00377_00742-1","mature_9",0.277794269037622,3,30039.5973587722,20173.3734176107
"s_008um_00330_00678-1","mature_9",3.38377761697754,2,28172.8034632544,18789.483911241
"s_008um_00083_00567-1","mature_16",0.243845013322275,3,24956.9044565899,11546.3309574467
"s_008um_00065_00599-1","mature_12",0.285773881548551,3,25895.8123568977,11023.7919223533
"s_008um_00091_00467-1","mature_20",3.41562942596681,2,22029.1805188595,11767.2083845369
"s_008um_00050_00596-1","mature_12",0.254533295443238,3,25809.9953738553,10584.4119354283
"s_008um_00343_00654-1","mature_10",0.284620479317155,3,27468.7008658477,19166.751915755
"s_008um_00179_00817-1","mature_12",3.33508481555061,1,32260.7518752656,14388.8907609769
"s_008um_00091_00571-1","mature_16",0.208559506544486,3,25072.9136070832,11780.9844077168
"s_008um_00104_00710-1","mature_14",0.324258868324231,3,29139.2194453875,12179.84465474
"s_008um_00364_00725-1","mature_9",3.592949326506,1,29543.8002607472,19790.6896020787
"s_008um_00158_00715-1","mature_12",10.1222618760332,2,29278.4040094076,13760.8248319641
"s_008um_00178_00336-1","mature_24",2.64075877852575,2,18183.7444799127,14295.9620963065
"s_008um_00094_00548-1","mature_16",2.01422585906301,3,24399.3862385505,11865.7341700108
"s_008um_00282_00815-1","mature_1",1.10865333729832,3,32188.5745814113,17402.8944812794
"s_008um_00164_00772-1","mature_12",3.39665911045147,1,30945.7734489972,13943.9604067105
"s_008um_00217_00756-1","mature_25",0.953091027444211,3,30470.5007229181,15492.8836111522
"s_008um_00331_00725-1","mature_9",0.361756659978245,3,29548.1678621999,18824.9606538545
"s_008um_00101_00414-1","mature_22",5.98004045885281,1,20476.7183165116,12052.843943975
"s_008um_00113_00716-1","mature_14",0.308392283156264,3,29313.625475142,12444.0262164554
"s_008um_00097_00396-1","mature_22",6.4163849117282,1,19950.4412722237,11933.397342749
"s_008um_00211_00770-1","mature_25",1.82428927887249,3,30881.0178810282,15319.1468707748
"s_008um_00042_00638-1","mature_15",9.94334195014627,2,27040.2457972107,10355.8534756786
"s_008um_00068_00606-1","mature_12",1.14140979571077,3,26100.2813224504,11112.5157547632
"s_008um_00175_00810-1","mature_12",4.0330453515292,1,32056.4209109345,14270.9046807625
"s_008um_00101_00744-1","mature_13",0.282288318007471,3,30134.6657254875,12096.5521664524
"s_008um_00480_00807-1","mature_3",5.33473064137756,2,31928.2202576929,23196.1718674444
"s_008um_00112_00666-1","mature_12",0.315054116791626,3,27850.4465576845,12408.1392770957
"s_008um_00097_00400-1","mature_22",6.17392014743904,1,20067.5090462764,11933.9271663087
"s_008um_00097_00673-1","mature_12",1.5075244058329,3,28057.2946966676,11970.0872172548
"s_008um_00116_00647-1","mature_12",10.7353367187237,2,27293.8577482073,12522.6841187015
"s_008um_00095_00554-1","mature_16",3.06157355703704,2,24574.8536318171,11895.7943616647
"s_008um_00343_00825-1","mature_1",3.0494818561331,1,32473.1491329414,19189.3509502285
"s_008um_00152_00743-1","mature_12",6.65899254891533,2,30098.6482200984,13588.9411853845
"s_008um_00147_00676-1","mature_12",7.37479118166739,2,28138.479335228,13433.7455671002
"s_008um_00357_00810-1","mature_1",0.344693978205358,3,32032.3106015242,19597.0702582586
"s_008um_00332_00644-1","mature_10",5.07212394813252,2,27177.4955139174,18843.5192944804
"s_008um_00098_00763-1","mature_13",2.9402416695902,2,30691.1187061748,12011.273123511
"s_008um_00036_00582-1","mature_12",0.812974525135499,3,25402.1136958962,10172.8389674254
"s_008um_00359_00735-1","mature_9",1.50002989525257,3,29837.119808052,19645.6886259004
"s_008um_00177_00802-1","mature_12",0.264971819407576,3,31822.0290906994,14328.3756430003
"s_008um_00099_00410-1","mature_22",5.99342716094565,1,20359.9145067051,11993.7829380459
"s_008um_00049_00527-1","mature_16",6.86467671642147,2,23790.7305355838,10546.0031167562
"s_008um_00361_00807-1","mature_1",2.68292320530808,2,31943.9839409902,19713.7313664779
"s_008um_00065_00517-1","mature_16",3.22884017264115,2,23495.9504391768,11012.9275432201
"s_008um_00146_00756-1","mature_12",9.99568164414299,2,30479.9009857268,13415.0719281479
"s_008um_00364_00830-1","mature_1",3.92338666471038,2,32616.6944474288,19804.5635231209
"s_008um_00248_00766-1","mature_25",3.0625868643907,2,30759.0550445918,16401.4153365761
"s_008um_00091_00365-1","mature_22",6.43742003169629,1,19043.9557716431,11753.697171785
"s_008um_00081_00571-1","mature_16",1.24875879308753,3,25074.2349532779,11488.3299200989
"s_008um_00142_00524-1","mature_18",8.66304170842,2,23690.6481545314,13267.2950045008
"s_008um_00336_00711-1","mature_9",0.868464285213733,3,29137.7843366725,18969.4330890619
"s_008um_00141_00703-1","mature_12",3.2997364568922,1,28929.4600958231,13261.7294311913
"s_008um_00340_00826-1","mature_1",3.32226955068143,1,32502.8121961606,19101.6898772142
